Fit Curves X	Sum 'Fit Sum'
350.0	12181.594533437568
351.0	12218.297130459772
352.0	12253.644045671244
353.0	12287.622913065614
354.0	12320.221829336322
355.0	12351.429362120834
356.0	12381.234558235383
357.0	12409.626951941187
358.0	12436.596573290939
359.0	12462.1339566139
360.0	12486.23014920869
361.0	12508.876720325083
362.0	12530.065770530327
363.0	12549.78994157159
364.0	12568.04242686438
365.0	12584.816982757651
366.0	12600.107940749833
367.0	12613.91022085665
368.0	12626.21934636148
369.0	12637.031460212818
370.0	12646.34334337096
371.0	12654.15243544828
372.0	12660.456858034293
373.0	12665.255441148727
374.0	12668.547753323564
375.0	12670.334135878322
376.0	12670.615742022685
377.0	12669.394581497061
378.0	12666.67357154469
379.0	12662.456595099551
380.0	12656.748567171986
381.0	12649.555510519256
382.0	12640.88464180106
383.0	12630.744469540126
384.0	12619.14490533559
385.0	12606.09738991093
386.0	12591.615035719029
387.0	12575.712787972787
388.0	12558.40760612059
389.0	12539.718667939838
390.0	12519.667598577495
391.0	12498.278727022398
392.0	12475.579372647515
393.0	12451.600164609015
394.0	12426.375397030006
395.0	12399.94342302667
396.0	12372.34709074946
397.0	12343.634224708132
398.0	12313.858155721427
399.0	12283.07830287582
400.0	12251.360810886703
401.0	12218.779246224369
402.0	12185.4153552895
403.0	12151.359887792058
404.0	12116.71348829692
405.0	12081.587658641802
406.0	12046.105793601297
407.0	12010.404291757832
408.0	11974.63374303925
409.0	11938.96019378677
410.0	11903.566489520457
411.0	11868.65369476586
412.0	11834.442588391528
413.0	11801.175231878035
414.0	11769.116606793714
415.0	11738.556316489066
416.0	11709.810345642465
417.0	11683.222869797313
418.0	11659.168105430874
419.0	11638.052189395738
420.0	11620.31507478756
421.0	11606.43242843094
422.0	11596.91751325721
423.0	11592.323036893538
424.0	11593.24294581706
425.0	11600.314142478785
426.0	11614.218100900984
427.0	11635.682354434697
428.0	11665.48182766921
429.0	11704.439982955008
430.0	11753.429750680894
431.0	11813.374211381946
432.0	11885.246996997246
433.0	11970.072378195497
434.0	12068.925004693747
435.0	12182.929265960176
436.0	12313.258240665282
437.0	12461.132204772792
438.0	12627.816670284383
439.0	12814.619929406032
440.0	13022.890082315615
441.0	13254.011530796795
442.0	13509.400924761529
443.0	13790.502554088236
444.0	14098.783184195274
445.0	14435.726340236399
446.0	14802.82605155252
447.0	15201.580074719102
448.0	15633.482619671822
449.0	16100.016608152984
450.0	16602.645495826902
451.0	17142.80468694194
452.0	17721.892560537373
453.0	18341.26110586063
454.0	19002.20612630537
455.0	19705.956908466425
456.0	20453.665156690775
457.0	21246.39285319894
458.0	22085.09850848988
459.0	22970.621007053058
460.0	23903.659925280048
461.0	24884.750808028934
462.0	25914.23346066936
463.0	26992.210892600866
464.0	28118.496214513973
465.0	29292.5446034287
466.0	30513.36653613147
467.0	31779.40446203825
468.0	33088.21860325242
469.0	34434.921867715486
470.0	35804.33597567778
471.0	37142.1267082526
472.0	38287.87628937194
473.0	38913.055989708104
474.0	38649.66328137661
475.0	37567.12209294081
476.0	36612.011397984716
477.0	37170.55240330018
478.0	39814.31186337743
479.0	43692.28440039905
480.0	47393.8044583121
481.0	50130.15782794331
482.0	51952.398870775956
483.0	53239.673165817716
484.0	54286.169020198504
485.0	55230.90057627331
486.0	56132.20054730766
487.0	57040.15760674918
