Wavelength	R1
200.0	0.0
201.0	0.0
202.0	0.0
203.0	0.0
204.0	0.0
205.0	0.0
206.0	0.0
207.0	0.0
208.0	0.0
209.0	0.0
210.0	0.0
211.0	0.0
212.0	0.0
213.0	0.0
214.0	0.0
215.0	0.0
216.0	0.0
217.0	0.0
218.0	0.0
219.0	0.0
220.0	0.0
221.0	0.0
222.0	0.0
223.0	0.0
224.0	0.0
225.0	0.0
226.0	0.0
227.0	0.0
228.0	0.0
229.0	0.0
230.0	0.0
231.0	0.0
232.0	0.0
233.0	0.0
234.0	0.0
235.0	0.0
236.0	1.0E-6
237.0	5.8E-5
238.0	1.01E-4
239.0	1.48E-4
240.0	2.11E-4
241.0	2.81E-4
242.0	3.59E-4
243.0	4.48E-4
244.0	5.58E-4
245.0	6.71E-4
246.0	8.1E-4
247.0	9.53E-4
248.0	0.001104
249.0	0.001274
250.0	0.001443
251.0	0.001641
252.0	0.001858
253.0	0.00208
254.0	0.002306
255.0	0.002574
256.0	0.002838
257.0	0.003128
258.0	0.003401
259.0	0.00374
260.0	0.004048
261.0	0.004336
262.0	0.004679
263.0	0.004989
264.0	0.005323
265.0	0.005669
266.0	0.005996
267.0	0.006322
268.0	0.006671
269.0	0.00703
270.0	0.007398
271.0	0.007773
272.0	0.008178
273.0	0.008548
274.0	0.00897
275.0	0.009402
276.0	0.009816
277.0	0.010269
278.0	0.010719
279.0	0.011228
280.0	0.011707
281.0	0.012112
282.0	0.012535
283.0	0.012944
284.0	0.013448
285.0	0.0139
286.0	0.014406
287.0	0.014915
288.0	0.015436
289.0	0.01609
290.0	0.017061
291.0	0.017469
292.0	0.017896
293.0	0.018553
294.0	0.019135
295.0	0.01992
296.0	0.020555
297.0	0.021225
298.0	0.021837
299.0	0.022413
300.0	0.023123
301.0	0.023686
302.0	0.02423
303.0	0.024767
304.0	0.02541
305.0	0.025954
306.0	0.026452
307.0	0.026998
308.0	0.027426
309.0	0.027934
310.0	0.028464
311.0	0.029074
312.0	0.029705
313.0	0.030154
314.0	0.030492
315.0	0.030889
316.0	0.031447
317.0	0.031857
318.0	0.032445
319.0	0.033015
320.0	0.033558
321.0	0.034226
322.0	0.035145
323.0	0.035573
324.0	0.035996
325.0	0.036576
326.0	0.037148
327.0	0.037711
328.0	0.038387
329.0	0.038978
330.0	0.039664
331.0	0.040281
332.0	0.041093
333.0	0.041663
334.0	0.042248
335.0	0.042954
336.0	0.043584
337.0	0.044252
338.0	0.044918
339.0	0.045468
340.0	0.046022
341.0	0.046763
342.0	0.047135
343.0	0.047825
344.0	0.048304
345.0	0.048754
346.0	0.049271
347.0	0.049625
348.0	0.050093
349.0	0.050528
350.0	0.050972
351.0	0.051194
352.0	0.05162
353.0	0.051923
354.0	0.052182
355.0	0.052368
356.0	0.052504
357.0	0.052682
358.0	0.052996
359.0	0.053092
360.0	0.053301
361.0	0.053331
362.0	0.053489
363.0	0.053781
364.0	0.053948
365.0	0.054228
366.0	0.054586
367.0	0.054829
368.0	0.055145
369.0	0.055558
370.0	0.05599
371.0	0.056403
372.0	0.057035
373.0	0.057318
374.0	0.058019
375.0	0.058495
376.0	0.059452
377.0	0.060179
378.0	0.060777
379.0	0.061633
380.0	0.062232
381.0	0.062814
382.0	0.063444
383.0	0.063783
384.0	0.064233
385.0	0.064677
386.0	0.065053
387.0	0.065856
388.0	0.066526
389.0	0.067589
390.0	0.068368
391.0	0.069075
392.0	0.070015
393.0	0.070871
394.0	0.07211
395.0	0.073419
396.0	0.074437
397.0	0.074619
398.0	0.073863
399.0	0.072894
400.0	0.072247
401.0	0.071738
402.0	0.071584
403.0	0.07169
404.0	0.072181
405.0	0.072454
406.0	0.072699
407.0	0.073527
408.0	0.073877
409.0	0.074204
410.0	0.074596
411.0	0.0749
412.0	0.075486
413.0	0.074848
414.0	0.074364
415.0	0.074166
416.0	0.074194
417.0	0.074502
418.0	0.07607
419.0	0.078548
420.0	0.077691
421.0	0.075233
422.0	0.07455
423.0	0.074134
424.0	0.073901
425.0	0.073597
426.0	0.073348
427.0	0.07312
428.0	0.072766
429.0	0.072544
430.0	0.072388
431.0	0.072047
432.0	0.072003
433.0	0.07189
434.0	0.071666
435.0	0.071744
436.0	0.072052
437.0	0.07326
438.0	0.074842
439.0	0.073288
440.0	0.071892
441.0	0.071599
442.0	0.071283
443.0	0.070815
444.0	0.070371
445.0	0.069958
446.0	0.06919
447.0	0.069199
448.0	0.070748
449.0	0.08185
450.0	0.08215
451.0	0.07494
452.0	0.07689
453.0	0.06986
454.0	0.06945
455.0	0.06983
456.0	0.07149
457.0	0.07372
458.0	0.07267
459.0	0.0697
460.0	0.07026
461.0	0.07403
462.0	0.07877
463.0	0.07696
464.0	0.07201
465.0	0.07193
466.0	0.07994
467.0	0.09397
468.0	0.08949
469.0	0.08026
470.0	0.07397
471.0	0.06862
472.0	0.07115
473.0	0.08188
474.0	0.06928
475.0	0.06218
476.0	0.06039
477.0	0.05931
478.0	0.05922
479.0	0.06044
480.0	0.06505
481.0	0.06987
482.0	0.06813
483.0	0.06792
484.0	0.06566
485.0	0.06286
486.0	0.06052
487.0	0.05948
488.0	0.05976
489.0	0.05971
490.0	0.06011
491.0	0.06551
492.0	0.07076
493.0	0.06704
494.0	0.06288
495.0	0.06044
496.0	0.05922
497.0	0.05857
498.0	0.05826
499.0	0.05785
500.0	0.05776
501.0	0.05776
502.0	0.05799
503.0	0.05819
504.0	0.05759
505.0	0.05703
506.0	0.05665
507.0	0.05655
508.0	0.05633
509.0	0.05598
510.0	0.05578
511.0	0.0557
512.0	0.0558
513.0	0.0556
514.0	0.05496
515.0	0.05474
516.0	0.0543
517.0	0.05417
518.0	0.05395
519.0	0.05353
520.0	0.05325
521.0	0.05286
522.0	0.05244
523.0	0.05217
524.0	0.05182
525.0	0.05147
526.0	0.05115
527.0	0.05078
528.0	0.05062
529.0	0.05048
530.0	0.04974
531.0	0.04936
532.0	0.04901
533.0	0.04881
534.0	0.04837
535.0	0.04802
536.0	0.04771
537.0	0.04737
538.0	0.0468
539.0	0.0465
540.0	0.04642
541.0	0.04636
542.0	0.04622
543.0	0.04572
544.0	0.04536
545.0	0.04491
546.0	0.04472
547.0	0.04432
548.0	0.04386
549.0	0.0435
550.0	0.04321
551.0	0.04286
552.0	0.04261
553.0	0.04235
554.0	0.04195
555.0	0.04156
556.0	0.04128
557.0	0.04086
558.0	0.04046
559.0	0.04022
560.0	0.039818
561.0	0.03956
562.0	0.039261
563.0	0.038874
564.0	0.038457
565.0	0.03825
566.0	0.037963
567.0	0.037708
568.0	0.037625
569.0	0.037318
570.0	0.037001
571.0	0.036676
572.0	0.036286
573.0	0.036055
574.0	0.035767
575.0	0.035479
576.0	0.035179
577.0	0.034958
578.0	0.034595
579.0	0.034319
580.0	0.034058
581.0	0.033719
582.0	0.033602
583.0	0.033291
584.0	0.033125
