Fit Curves X	
540.0	9653.058140259802
541.0	9787.970686981587
542.0	9918.7275205575
543.0	10045.10373665857
544.0	10166.88012421956
545.0	10283.843820693995
546.0	10395.78895559256
547.0	10502.517279632311
548.0	10603.838776851815
549.0	10699.57225708856
550.0	10789.54592627022
551.0	10873.5979320399
552.0	10951.57688231745
553.0	11023.342334494006
554.0	11088.765253064435
555.0	11147.728433622096
556.0	11200.126891271615
557.0	11245.868211657542
558.0	11284.872862959199
559.0	11317.074467363747
560.0	11342.420030700148
561.0	11360.870129094545
562.0	11372.399051692699
563.0	11376.994898685654
564.0	11374.65963407017
565.0	11365.409092774542
566.0	11349.272941982126
567.0	11326.294596687865
568.0	11296.531089726863
569.0	11260.052896716548
570.0	11216.943716555235
571.0	11167.300208317587
572.0	11111.231685581748
573.0	11048.859769411629
574.0	10980.318001400825
575.0	10905.751418360373
576.0	10825.316090400276
577.0	10739.17862431375
578.0	10647.515634322197
579.0	10550.51318237771
580.0	10448.366190347335
581.0	10341.27782651906
582.0	10229.458868972763
583.0	10113.12704844979
584.0	9992.506373431886
585.0	9867.8264402038
586.0	9739.321730723414
587.0	9607.230901158797
588.0	9471.796063973095
589.0	9333.26206644526
590.0	9191.875768507896
591.0	9047.885322762584
592.0	8901.539459498632
593.0	8753.086779493056
594.0	8602.77505730867
595.0	8450.850557733367
596.0	8297.557367917856
597.0	8143.136747671691
598.0	7987.826500268948
599.0	7831.860365996263
600.0	7675.467440547562
601.0	7518.871620232711
602.0	7362.291075822151
603.0	7205.937756697169
604.0	7050.016926816836
605.0	6894.726733848438
606.0	6740.257812639587
607.0	6586.79292403787
608.0	6434.506629888967
609.0	6283.565004867357
610.0	6134.125385616232
611.0	5986.336157495739
612.0	5840.336579062255
613.0	5696.256644226845
614.0	5554.216981869377
615.0	5414.32879251662
616.0	5276.69382152913
617.0	5141.404368083374
618.0	5008.543329083198
619.0	4878.1842769893165
620.0	4750.391570417236
621.0	4625.220496224028
622.0	4502.717441682896
623.0	4382.9200952321025
624.0	4265.857674182186
625.0	4151.551177672662
626.0	4040.0136630871257
627.0	3931.25054406401
628.0	3825.2599081794942
629.0	3722.032852329432
630.0	3621.553833798551
631.0	3523.8010349779565
632.0	3428.746739675764
633.0	3336.3577189606713
634.0	3246.5956244841836
635.0	3159.4173872438105
636.0	3074.77561977666
637.0	2992.6190198100685
638.0	2912.892773442887
639.0	2835.5389559873042
640.0	2760.4969286662017
641.0	2687.703729434456
642.0	2617.094456273662
643.0	2548.6026413980285
644.0	2482.1606149037793
645.0	2417.6998564948963
646.0	2355.151334023462
647.0	2294.4458276927026
648.0	2235.5142388842087
649.0	2178.28788268707
650.0	2122.6987633248873
651.0	2068.679831796278
652.0	2016.1652251645633
653.0	1965.0904870522795
654.0	1915.3927690151131
655.0	1867.0110125871552
656.0	1819.8861119043659
657.0	1773.9610569250326
658.0	1729.1810573743328
659.0	1685.4936476441458
660.0	1642.848772978531
661.0	1601.1988573692465
662.0	1560.4988536739102
663.0	1520.7062765514083
664.0	1481.7812188847333
665.0	1443.6863524300738
666.0	1406.386913492643
667.0	1369.8506744840693
668.0	1334.0479022631475
669.0	1298.9513042012434
670.0	1264.5359629456175
671.0	1230.779260878488
672.0	1197.6607952867926
673.0	1165.1622852675218
674.0	1133.2674713963654
675.0	1101.9620091834581
676.0	1071.2333573294982
677.0	1041.0706617788055
678.0	1011.464636543288
679.0	982.4074422431722
680.0	953.8925632772505
681.0	925.9146844975467
682.0	898.4695682213678
683.0	871.5539323680227
684.0	845.1653304585798
685.0	819.3020341654224
686.0	793.962919044496
687.0	769.1473540275024
688.0	744.8550951944667
689.0	721.086184289401
690.0	697.8408523838368
691.0	675.1194290351207
692.0	652.9222572290591
693.0	631.2496143401247
694.0	610.1016392874064
695.0	589.4782660110995
696.0	569.3791633429751
697.0	549.8036812951623
698.0	530.7508037450289
699.0	512.2191074501586
700.0	494.20672728656814
701.0	476.71132756559814
702.0	459.7300792503952
703.0	443.2596428617363
704.0	427.29615683515476
705.0	411.83523106692314
706.0	396.871945365491
707.0	382.40085250734717
708.0	368.4159855819946
709.0	354.91086929968685
710.0	341.878534927621
711.0	329.311538515399
712.0	317.20198206850637
713.0	305.54153732920895
714.0	294.3214718274601
715.0	283.5326768699556
716.0	273.1656971431553
717.0	263.21076161576707
718.0	253.65781543757157
719.0	244.49655254445008
